country,iso3,Population density,GDP per capita,Inflation rate,Health expenditure per capita,Unemployment rate,Extreme poverty,Life expectancy,Crude death rate,Population aged 65 and above,Tobacco use,Hospital beds,Air Passengers,Lower secondary,Pupil-teacher ratio,Education expenditure,Diabetes prevalence,Health personnel
Syria,SYR,109.449714099003,1124.52055370091,19.8313540100224,63.13696671,8.61,0.0,71.822,5.033,4.49421184723457,25.5,1.4,18456.6450466215,97.1908187866211,9.92873,5.29163980484009,9.9,2.605
Tajikistan,TJK,67.2743209164925,889.023371804416,3.65868410750916,61.76633072,6.9,6.1,70.867,4.843,3.17687592046399,25.5,4.67,539094.616,94.5381622314453,22.30051,5.56805467605591,6.3,6.42
Tanzania,TZA,67.5915319485211,1050.93176269531,2.2804089300173,39.56215286,2.781,44.9,66.989,6.012,3.12050529842718,9.2,0.7,1498093.0,11.4890699386597,50.63304,3.59683632850647,2.8,0.6000000000000001
Thailand,THA,139.57557008358,7628.57603307351,1.01442340642497,294.46008301,0.716,0.1,78.975,7.14,13.2083487179369,22.5,2.1,76344410.0,49.5755195617676,16.63844,3.02221417427063,7.5,3.9749999999999996
Timor,TLS,86.1088096839274,1583.07860279061,4.87409651725565,79.26290131,4.657,24.4,68.268,6.888,5.4291990042466,39.8,5.9,28179302.666,33.470458984375,26.94886,4.17656230926514,7.5,2.549
Togo,TGO,151.555322669608,848.304534594506,0.0125767477580467,49.42482758,2.056,28.4,60.901,8.465,3.02076483534187,7.1,0.7,633629.0,21.1068992614746,40.14504,4.20166826248169,3.3,0.531
Tonga,TON,145.765277777778,4878.97868604087,7.70373059426311,229.94410706,2.248,1.8,70.871,6.909,6.14718367230266,31.1,2.6,320806.0,87.9980621337891,21.63312,5.27322959899902,12.7,5.333
Trinidad and Tobago,TTO,296.287524366472,15642.4067190576,-3.81226150744531,1071.89624023,3.523,1.8,74.228,7.701,10.1277669404686,31.0,3.02,2583595.0,67.4887466430664,21.63312,3.59864854812622,12.7,7.843
Tunisia,TUN,77.5573764160659,3477.83618091653,7.13476112863445,189.74969482,17.153,0.1,75.993,6.145,8.33619691279507,25.0,2.18,4335325.0,42.7090911865234,16.87168,6.22044992446899,9.5,3.694
Turkey,TUR,107.297584553617,9215.44087472889,13.8677352522894,397.40911865,13.73,0.5,77.832,5.084,7.95083026834964,30.9,2.85,111131475.0,66.0219192504883,16.97782,4.45403003692627,7.9,4.97
Turks and Caicos Islands,TCA,45.3473684210526,27795.1485608171,2.12932491093834,395.24041748,13.148,0.5,75.326,8.458,9.76903435468895,30.7,2.85,44722690.061,88.1558609008789,17.69231,2.50508999824524,7.9,5.439
Tuvalu,TUV,365.2,4940.05098268449,6.43874385090449,1033.86682129,26.553,3.6,64.278,10.161,5.82329317269076,36.0,2.85,44722690.061,58.2867317199707,15.57647,2.92456269264221,19.2,4.955
Uganda,UGA,214.188509874327,823.024732902811,3.00001181631713,33.40487289,2.563,42.1,62.991,5.823,1.64536586115465,8.9,0.5,19822.5,19.1896991729736,42.65911,2.30828070640564,2.8,1.8439999999999999
Ukraine,UKR,76.6071850189852,3661.45776367188,8.24622626642469,246.9130249,8.194,0.0,71.8273170731707,14.7,16.9204304589202,26.2,7.46,7604522.332,19.1896991729736,12.98011,5.44129991531372,2.9,9.646
United Arab Emirates,ARE,129.705111236271,45376.1708381558,-3.19440940863002,1947.1307373,2.331,0.0,79.726,1.471,1.47102198876923,25.8,1.38,93995208.09,84.1677169799805,24.52278,3.86020994186401,18.8,8.854
United Kingdom,GBR,276.263080229819,42662.5353740311,2.11573274293868,4265.20117188,3.737,0.5,81.4048780487805,9.0,18.530703049907,16.1,2.46,142392528.0,99.8025970458984,15.13275,5.24871015548706,5.2,11.63
United States,USA,35.8931756713915,65120.3946628653,1.79393050089551,10661.02832031,3.669,1.0,78.7878048780488,8.7,15.7918008297391,23.4,2.87,926737000.0,96.4607696533203,14.19857,4.98727989196777,9.4,16.678
Uruguay,URY,19.588669866301,18098.361548609,8.38584775298929,1677.09790039,8.734,0.1,77.508,10.057,15.1667457363963,22.0,2.43,369501000.0,58.0900001525879,11.0193,4.64130020141602,5.7,12.248000000000001
