cat_value,level_1,direction,counts,n,freq,label,region,var,country
"(6, 9]",2,Positive,467,4301,0.10857940013950244,10.9 %,Berlin,temperature,DEU
"(9, 12]",0,NS,2241,3543,0.632514817950889,63.3 %,Berlin,temperature,DEU
"(9, 12]",1,Negative,878,3543,0.24781258820208862,24.8 %,Berlin,temperature,DEU
"(9, 12]",2,Positive,424,3543,0.1196725938470223,12.0 %,Berlin,temperature,DEU
"(12, 15]",0,NS,2648,3883,0.6819469482359001,68.2 %,Berlin,temperature,DEU
"(12, 15]",1,Negative,843,3883,0.2171001802729848,21.7 %,Berlin,temperature,DEU
"(12, 15]",2,Positive,392,3883,0.10095287149111512,10.1 %,Berlin,temperature,DEU
"(15, 18]",0,NS,2449,3608,0.6787694013303769,67.9 %,Berlin,temperature,DEU
"(15, 18]",1,Negative,707,3608,0.19595343680709534,19.6 %,Berlin,temperature,DEU
"(15, 18]",2,Positive,452,3608,0.12527716186252771,12.5 %,Berlin,temperature,DEU
"(18, 21]",0,NS,2001,2970,0.6737373737373737,67.4 %,Berlin,temperature,DEU
"(18, 21]",1,Negative,579,2970,0.19494949494949496,19.5 %,Berlin,temperature,DEU
"(18, 21]",2,Positive,390,2970,0.13131313131313133,13.1 %,Berlin,temperature,DEU
"(21, 24]",0,NS,1765,2508,0.7037480063795853,70.4 %,Berlin,temperature,DEU
"(21, 24]",1,Negative,422,2508,0.1682615629984051,16.8 %,Berlin,temperature,DEU
"(21, 24]",2,Positive,321,2508,0.12799043062200957,12.8 %,Berlin,temperature,DEU
"(24, 27]",0,NS,1145,1496,0.7653743315508021,76.5 %,Berlin,temperature,DEU
"(24, 27]",1,Negative,214,1496,0.14304812834224598,14.3 %,Berlin,temperature,DEU
"(24, 27]",2,Positive,137,1496,0.09157754010695188,9.2 %,Berlin,temperature,DEU
"(27, 30]",0,NS,750,990,0.7575757575757576,75.8 %,Berlin,temperature,DEU
"(27, 30]",1,Negative,142,990,0.14343434343434344,14.3 %,Berlin,temperature,DEU
"(27, 30]",2,Positive,98,990,0.09898989898989899,9.9 %,Berlin,temperature,DEU
"(30, 33]",0,Positive,0,0,0.0,0.0 %,Berlin,temperature,DEU
"(30, 33]",1,Negative,0,0,0.0,0.0 %,Berlin,temperature,DEU
"(30, 33]",2,NS,0,0,0.0,0.0 %,Berlin,temperature,DEU
"(0, 2]",0,Positive,0,0,0.0,0.0 %,Berlin,absolute_humidity,DEU
"(0, 2]",1,Negative,0,0,0.0,0.0 %,Berlin,absolute_humidity,DEU
"(0, 2]",2,NS,0,0,0.0,0.0 %,Berlin,absolute_humidity,DEU
"(2, 4]",0,NS,2275,3147,0.722910708611376,72.3 %,Berlin,absolute_humidity,DEU
"(2, 4]",1,Negative,503,3147,0.15983476326660312,16.0 %,Berlin,absolute_humidity,DEU
"(2, 4]",2,Positive,369,3147,0.11725452812202097,11.7 %,Berlin,absolute_humidity,DEU
"(4, 6]",0,NS,3144,4125,0.7621818181818182,76.2 %,Berlin,absolute_humidity,DEU
"(4, 6]",1,Negative,591,4125,0.14327272727272727,14.3 %,Berlin,absolute_humidity,DEU
"(4, 6]",2,Positive,390,4125,0.09454545454545454,9.5 %,Berlin,absolute_humidity,DEU
"(6, 8]",0,NS,5458,7205,0.757529493407356,75.8 %,Berlin,absolute_humidity,DEU
"(6, 8]",1,Negative,1038,7205,0.14406662040249826,14.4 %,Berlin,absolute_humidity,DEU
"(6, 8]",2,Positive,709,7205,0.09840388619014573,9.8 %,Berlin,absolute_humidity,DEU
"(8, 10]",0,NS,3870,5222,0.7410953657602452,74.1 %,Berlin,absolute_humidity,DEU
"(8, 10]",1,Negative,772,5222,0.1478360781309843,14.8 %,Berlin,absolute_humidity,DEU
"(8, 10]",2,Positive,580,5222,0.11106855610877059,11.1 %,Berlin,absolute_humidity,DEU
"(10, 12]",0,NS,2758,3762,0.7331206804891015,73.3 %,Berlin,absolute_humidity,DEU
"(10, 12]",1,Negative,507,3762,0.13476874003189793,13.5 %,Berlin,absolute_humidity,DEU
"(10, 12]",2,Positive,497,3762,0.13211057947900054,13.2 %,Berlin,absolute_humidity,DEU
"(12, 14]",0,NS,1416,2002,0.7072927072927073,70.7 %,Berlin,absolute_humidity,DEU
"(12, 14]",1,Negative,304,2002,0.15184815184815184,15.2 %,Berlin,absolute_humidity,DEU
"(12, 14]",2,Positive,282,2002,0.14085914085914086,14.1 %,Berlin,absolute_humidity,DEU
"(14, 16]",0,NS,571,924,0.6179653679653679,61.8 %,Berlin,absolute_humidity,DEU
"(14, 16]",1,Positive,195,924,0.21103896103896103,21.1 %,Berlin,absolute_humidity,DEU
"(14, 16]",2,Negative,158,924,0.170995670995671,17.1 %,Berlin,absolute_humidity,DEU
"(16, 18]",0,NS,335,506,0.6620553359683794,66.2 %,Berlin,absolute_humidity,DEU
"(16, 18]",1,Negative,118,506,0.233201581027668,23.3 %,Berlin,absolute_humidity,DEU
"(16, 18]",2,Positive,53,506,0.10474308300395258,10.5 %,Berlin,absolute_humidity,DEU
"(18, 20]",0,Positive,0,0,0.0,0.0 %,Berlin,absolute_humidity,DEU
"(18, 20]",1,Negative,0,0,0.0,0.0 %,Berlin,absolute_humidity,DEU
