,Date,S,E,I,Q,R,D,P,Total Cases,std S,std E,std I,std Q,std R,std D,std P,std Total Cases,N
33,2022-01-03,243519.9,122948.3,214938.0,215373.2,978079.5,54722.2,8230992.9,1248174.9,48168.257268558096,62009.346918105824,100970.61889084369,92790.82110402947,35542.78257325951,1372.9898615794657,336748.3278985807,129706.59353886844,10060574
34,2022-01-04,232155.3,119695.9,215161.5,220361.2,987535.8,54722.9,8230941.4,1262619.9000000001,40487.38788820538,58094.50301095621,99939.56043154282,96357.16413925849,39534.76734925855,1371.7804088118476,331587.97369512665,137263.71189732887,10060574
35,2022-01-05,221679.2,116474.2,215033.3,224883.5,997445.0,54723.2,8230335.6,1277051.7,34032.53733355772,54197.16211352768,98615.84168281483,99443.75058921501,43901.82973407828,1371.4420731478235,327144.8138229307,144717.0223964411,10060574
36,2022-01-06,211906.7,113087.2,214404.5,229257.0,1008082.4,54723.6,8229112.6,1292063.0,28741.336388727646,50221.63733252829,96900.4239724987,102405.63795221433,48534.32632518968,1370.8015319512886,323380.1030014679,152310.7658093553,10060574
37,2022-01-07,203276.3,109911.6,213538.3,232995.2,1018672.6,54723.6,8227456.4,1306391.4,24723.963654923944,46573.34404828581,94911.05153252702,105000.41466946692,53120.523341172004,1370.8015319512886,320279.93333526223,159491.73954259022,10060574
38,2022-01-08,195513.8,106696.4,212408.0,236297.8,1029592.4,54723.7,8225341.9,1320613.9,21805.538786280886,43048.787744139794,92715.87745149156,107111.80180148217,57973.53243886386,1370.7285690464032,317790.64543106046,166456.06280939243,10060574
39,2022-01-09,188516.2,103446.8,211000.2,239142.0,1040884.5,54723.9,8222860.4,1334750.4,19657.858305522503,39628.310768439274,90224.22332478124,108981.86695960021,63015.52843426769,1370.350353011959,315690.76220067,173367.74574687987,10060574
40,2022-01-10,182231.7,100285.6,209205.2,241611.4,1052494.4,54724.0,8220021.7,1348829.7999999998,18383.091660817016,36387.932681591024,87545.42210509925,110514.62377459374,68171.326927382,1370.161304372591,314063.1471898765,180056.11200634832,10060574
41,2022-01-11,176586.9,97061.0,207233.0,243739.4,1064331.6,54724.0,8216898.1,1362795.0,17642.368721064642,33260.13459984791,84800.59394367471,111674.6217770179,73483.83682443372,1370.161304372591,312693.28840781027,186528.61990582422,10060574
42,2022-01-12,171637.2,93899.0,204974.9,245433.0,1076468.3,54724.0,8213437.6,1376625.3,17409.21082530739,30312.646908509985,81789.58539746977,112552.08978601864,78973.73594942814,1370.161304372591,311721.3648430919,192895.98703981936,10060574
43,2022-01-13,167170.3,90885.6,202510.1,246729.8,1088822.0,54724.0,8209732.2,1390275.8,17365.030913015962,27582.20180551219,78668.33004640431,113059.82485463172,84586.38252579431,1370.161304372591,310958.4388678976,199016.36868479862,10060574
44,2022-01-14,163093.9,87751.8,199821.5,247603.9,1101953.1,54724.0,8205625.8,1404281.0,17565.985594039408,24980.167900956953,75404.202350068,113209.78982088961,90503.98247972297,1370.161304372591,310399.1682262696,205083.93360498518,10060574
45,2022-01-15,159725.7,84854.9,197037.0,248067.2,1114751.8,54724.0,8201413.4,1417543.0,17824.67083034074,22633.22695264641,72296.9875679478,113089.70197396401,96226.62931725293,1370.161304372591,310145.6996455698,210686.49259558955,10060574
46,2022-01-16,156834.9,81998.6,194128.4,248105.1,1127773.1,54724.0,8197009.9,1430602.2000000002,18306.700775672278,20505.865566710418,69095.05432257797,112533.0865403149,102127.87009768686,1370.161304372591,310096.4975837199,216031.11794237435,10060574
47,2022-01-17,154288.0,79301.0,191105.6,247867.9,1140835.8,54724.0,8192451.7,1443427.7000000002,18838.45829679276,18508.054857277682,65935.524880295,111725.12550491944,108036.91187904253,1370.161304372591,310194.4911380762,221132.19868833455,10060574
48,2022-01-18,152252.0,76620.6,187904.8,247313.5,1154073.6,54724.0,8187685.5,1456111.1,19288.544481116245,16716.35844435025,62718.763662559555,110767.85827869923,113955.0717749763,1370.161304372591,310386.28119562566,226093.09135804814,10060574
49,2022-01-19,150608.1,74132.8,184641.5,246375.8,1167439.2,54724.0,8182652.6,1468539.0,19746.026812754004,15130.189726503762,59520.01027091646,109533.22065912242,119891.07242392987,1370.161304372591,310723.583096681,230794.4543874249,10060574
50,2022-01-20,149180.3,71700.0,181353.8,245207.7,1180863.3,54724.0,8177544.9,1480795.0,20310.170546058936,13643.31953741464,56418.90448032467,108103.98415049282,125765.2821346575,1370.161304372591,311119.7958354467,235239.4275895229,10060574
51,2022-01-21,148031.2,69320.3,177823.6,243682.4,1194886.6,54724.0,8172105.9,1493293.0,20897.219780631105,12318.222469577338,53128.734395240404,106504.43188449953,131860.67460255162,1370.161304372591,311668.46519064135,239735.26779142374,10060574
52,2022-01-22,147221.9,67174.0,174429.4,241947.4,1208351.1,54724.0,8166726.2,1505022.5,21515.522598579842,11091.093985716649,50154.20773015959,104643.01430119452,137719.19673266323,1370.161304372591,312202.9660704075,243732.37233823034,10060574
53,2022-01-23,146737.0,65131.4,171047.6,239875.4,1221894.1,54724.0,8161164.5,1516493.5,22114.185320739263,9960.42209145777,47270.55899225225,102752.41603018393,143431.75390718054,1370.161304372591,312874.70820609643,247554.33124173706,10060574
54,2022-01-24,146452.5,63322.8,167588.6,237594.3,1235453.2,54724.0,8155438.6,1527771.5,22842.836782019873,9012.256685203767,44443.27180170245,100584.67210072318,149191.50253938726,1370.161304372591,313667.11473445856,251146.33594448306,10060574
55,2022-01-25,146372.3,61563.8,164187.5,235102.1,1248970.0,54724.0,8149654.3,1538796.1,23637.873263261226,8158.051811554031,41687.02612144455,98374.46490268702,154785.14894588562,1370.161304372591,314479.8795090236,254529.77515294525,10060574
56,2022-01-26,146550.8,59857.3,160843.6,232394.4,1262475.4,54724.0,8143728.5,1549593.7999999998,24398.932943061263,7432.833417344963,39019.90052832016,96043.45565440676,160329.1685272521,1370.161304372591,315320.037196893,257742.78548603144,10060574
57,2022-01-27,146952.1,58262.2,157555.6,229502.7,1275894.0,54724.0,8137683.4,1560120.7,25202.858946754433,6801.948085658991,36400.25993368728,93660.4647554666,165789.13282781836,1370.161304372591,316249.96518899413,260819.75888765755,10060574
58,2022-01-28,147610.4,56811.1,154293.5,226382.0,1289288.7,54724.0,8131464.3,1570394.7,25931.090301797954,6277.458728657641,33935.12189531665,91165.62752704552,171126.54291725173,1370.161304372591,317172.99830157356,263662.33174866985,10060574
59,2022-01-29,148353.7,55360.8,150905.5,223145.2,1303093.5,54724.0,8124991.3,1580962.7,26781.047821360542,5737.846840061175,31460.89475920861,88535.28660008957,176615.09374753336,1370.161304372591,318125.37638266146,266520.5416519955,10060574
60,2022-01-30,149322.0,54085.8,147715.4,219861.3,1316273.9,54724.0,8118591.6,1590859.2,27634.18607087967,5278.726907124482,29227.809090658848,85881.56801089509,181763.32051679183,1370.161304372591,319130.73831149517,269015.04983205954,10060574
61,2022-01-31,150513.1,52898.1,144604.6,216475.1,1329334.9,54724.0,8112024.2,1600534.0,28556.68719739739,4900.223289810373,27087.502347761783,83247.38413361709,186755.35826821678,1370.161304372591,320147.31872305286,271372.9037062065,10060574
62,2022-02-01,151917.7,51809.0,141548.0,212935.7,1342320.2,54724.0,8105319.4,1609979.9,29590.327686762783,4564.262963502431,25022.67168789136,80572.44551836564,191657.80176074232,1370.161304372591,321264.06335573853,273600.4085834806,10060574
63,2022-02-02,153378.6,50771.1,138572.8,209337.4,1355176.8,54724.0,8098613.3,1619238.2000000002,30536.842270280664,4278.320498747143,23108.36766974249,77778.04987681293,196469.3382621319,1370.161304372591,322244.48180009227,275617.54944331746,10060574
64,2022-02-03,155046.6,49792.7,135697.7,205650.9,1367894.8,54724.0,8091767.3,1628269.7,31676.958361559904,3958.8271760712164,21349.147378993854,75107.80640579246,201028.31884378876,1370.161304372591,323347.92638922244,277506.28655395383,10060574
65,2022-02-04,156839.2,48870.5,132906.4,201910.9,1380492.7,54724.0,8084830.3,1637127.5999999999,32697.276213164914,3710.421734789726,19624.82138109797,72396.63119020111,205540.1895761751,1370.161304372591,324424.8691527979,279306.9820707488,10060574
66,2022-02-05,158741.3,48085.9,130138.9,198167.0,1392931.8,54724.0,8077785.1,1645822.8,33770.080491612694,3519.3076435571816,17932.54914087788,69719.83993096944,209924.02037775476,1370.161304372591,325594.98654692154,281014.0216130968,10060574
67,2022-02-06,160910.7,47291.3,127360.2,194325.1,1405651.0,54724.0,8070311.7,1654700.1,34928.82572331913,3368.954913619356,16280.270702909089,66978.3339527791,214296.01585563834,1370.161304372591,326779.529006653,282644.51111279003,10060574
