,Date,S,E,I,Q,R,D,P,Total Cases,std S,std E,std I,std Q,std R,std D,std P,std Total Cases,N
42,2022-01-12,270668.0,107056.1,265903.4,305848.1,1135757.0,53889.8,7921451.6,1495494.9,399236.5386143908,68477.20337959196,136251.215119866,72497.92800135739,49614.60185469596,4805.600749125962,331307.1730808737,126918.13060517932,10060574
43,2022-01-13,267783.4,103238.4,261449.3,306165.2,1151022.8,53891.0,7917023.9,1511079.0,399682.2584541876,66108.77755971592,133317.5903157944,72742.89170881234,52821.76243519332,4803.988259769168,332300.4767825198,130368.64240377482,10060574
44,2022-01-14,265284.1,99345.8,256744.3,305950.0,1167133.3,53891.8,7912224.7,1526975.1,400104.83348953683,63782.21326326016,130166.24125636417,72852.60680854187,56263.56671603747,4802.954295014684,333399.7536861868,133919.12781959402,10060574
45,2022-01-15,263249.7,95809.5,252011.6,305322.7,1182832.7,53892.2,7907455.6,1542047.6,400540.2107756598,61611.25202956032,127186.8984480713,72692.67121938772,59641.46646428137,4802.714811437381,334526.8505119432,137136.85249510646,10060574
46,2022-01-16,261550.2,92452.1,247193.1,304378.2,1198581.6,53892.8,7902526.0,1556852.6,401061.9654653879,59498.21212851694,124336.98288236691,72377.37417978079,63091.04022474189,4801.888103652562,335743.8209546082,140270.30250817523,10060574
47,2022-01-17,260105.8,89334.4,242330.4,302919.1,1214541.4,53893.3,7897449.6,1571353.7999999998,401555.43489306676,57479.19705110711,121443.03677543641,71859.63730558346,66581.69446356858,4801.589529520406,337010.6934235767,143242.92129867245,10060574
48,2022-01-18,259051.9,86350.9,237466.6,301080.4,1230554.7,53893.5,7892176.0,1585528.6,402081.47542542923,55634.596636355694,118669.70635187399,71328.96321298943,70000.65482272289,4801.382972644444,338361.05300699134,146131.00100835675,10060574
49,2022-01-19,258262.6,83450.4,232673.0,298876.1,1246632.1,53893.8,7886786.0,1599402.0,402627.83271731227,53779.776816569254,115859.63365124197,70624.14122585845,73439.37565563858,4800.948506284983,339707.80046445795,148864.46538778202,10060574
50,2022-01-20,257737.0,80711.8,227779.7,296409.9,1262752.8,53893.8,7881289.0,1613056.5,403242.796852715,52012.91393067687,113143.91554215366,69832.05763036056,76907.59628255195,4800.948506284983,341159.95718401653,151540.6024191975,10060574
51,2022-01-21,257531.4,78063.2,222690.9,293479.0,1279600.2,53893.9,7875315.4,1626973.1,403877.4503851881,50291.37485056458,110320.46197007153,68827.24699274264,80519.8963384827,4800.846351425965,342751.67079394375,154147.9896826513,10060574
52,2022-01-22,257685.8,75589.4,217805.9,290405.4,1295787.4,53894.0,7869406.1,1640086.7999999998,404593.85980456986,48762.325049570805,107635.56854725115,67819.73159516336,83976.31475862704,4800.701552898285,344299.1802329625,156596.7479066887,10060574
