longitude,latitude,country
-6.75,54.75,United Kingdom
-6.75,54.5,United Kingdom
-6.75,54.25,United Kingdom
-6.75,54.0,Ireland
-6.75,53.75,Ireland
-6.75,53.5,Ireland
-6.75,53.25,Ireland
-6.75,53.0,Ireland
-6.75,52.75,Ireland
-6.75,52.5,Ireland
-6.75,52.25,Ireland
-6.75,52.0,Ireland
-6.75,43.75,Spain
-6.75,43.5,Spain
-6.75,43.25,Spain
-6.75,43.0,Spain
-6.75,42.75,Spain
-6.75,42.5,Spain
-6.75,42.25,Spain
-6.75,42.0,Spain
-6.75,41.75,Portugal
-6.75,41.5,Portugal
-6.75,41.25,Portugal
-6.75,41.0,Spain
-6.75,40.75,Spain
-6.75,40.5,Spain
-6.75,40.25,Spain
-6.75,40.0,Spain
-6.75,39.75,Spain
-6.75,39.5,Spain
-6.75,39.25,Spain
-6.75,39.0,Spain
-6.75,38.75,Spain
-6.75,38.5,Spain
-6.75,38.25,Spain
-6.75,38.0,Spain
-6.75,37.75,Spain
-6.75,37.5,Spain
-6.75,37.25,Spain
-6.75,37.0,Spain
-6.75,36.75,Spain
-6.5,55.25,United Kingdom
-6.5,55.0,United Kingdom
-6.5,54.75,United Kingdom
-6.5,54.5,United Kingdom
-6.5,54.25,United Kingdom
-6.5,54.0,United Kingdom
-6.5,53.75,Ireland
-6.5,53.5,Ireland
-6.5,53.25,Ireland
-6.5,53.0,Ireland
-6.5,52.75,Ireland
-6.5,52.5,Ireland
-6.5,52.25,Ireland
-6.5,43.75,Spain
-6.5,43.5,Spain
-6.5,43.25,Spain
-6.5,43.0,Spain
-6.5,42.75,Spain
-6.5,42.5,Spain
-6.5,42.25,Spain
-6.5,42.0,Spain
-6.5,41.75,Spain
-6.5,41.5,Portugal
-6.5,41.25,Spain
-6.5,41.0,Spain
-6.5,40.75,Spain
-6.5,40.5,Spain
-6.5,40.25,Spain
-6.5,40.0,Spain
-6.5,39.75,Spain
-6.5,39.5,Spain
-6.5,39.25,Spain
-6.5,39.0,Spain
-6.5,38.75,Spain
-6.5,38.5,Spain
-6.5,38.25,Spain
-6.5,38.0,Spain
-6.5,37.75,Spain
-6.5,37.5,Spain
-6.5,37.25,Spain
-6.5,37.0,Spain
-6.5,36.75,Spain
-6.5,36.5,Spain
-6.5,36.25,Spain
-6.25,55.25,United Kingdom
-6.25,55.0,United Kingdom
-6.25,54.75,United Kingdom
-6.25,54.5,United Kingdom
-6.25,54.25,United Kingdom
-6.25,54.0,United Kingdom
-6.25,53.75,Ireland
-6.25,53.5,Ireland
-6.25,53.25,Ireland
-6.25,53.0,Ireland
-6.25,52.75,Ireland
-6.25,52.5,Ireland
-6.25,43.75,Spain
-6.25,43.5,Spain
-6.25,43.25,Spain
-6.25,43.0,Spain
-6.25,42.75,Spain
-6.25,42.5,Spain
-6.25,42.25,Spain
-6.25,42.0,Spain
-6.25,41.75,Spain
-6.25,41.5,Spain
-6.25,41.25,Spain
-6.25,41.0,Spain
-6.25,40.75,Spain
-6.25,40.5,Spain
-6.25,40.25,Spain
-6.25,40.0,Spain
-6.25,39.75,Spain
-6.25,39.5,Spain
-6.25,39.25,Spain
-6.25,39.0,Spain
-6.25,38.75,Spain
-6.25,38.5,Spain
-6.25,38.25,Spain
-6.25,38.0,Spain
-6.25,37.75,Spain
-6.25,37.5,Spain
-6.25,37.25,Spain
-6.25,37.0,Spain
-6.25,36.75,Spain
-6.25,36.5,Spain
-6.25,36.25,Spain
-6.25,36.0,Spain
-6.0,55.0,United Kingdom
-6.0,54.75,United Kingdom
-6.0,54.5,United Kingdom
-6.0,54.25,United Kingdom
-6.0,54.0,United Kingdom
-6.0,53.75,Ireland
-6.0,53.5,Ireland
-6.0,53.25,Ireland
-6.0,53.0,Ireland
-6.0,52.75,Ireland
-6.0,50.25,United Kingdom
-6.0,50.0,United Kingdom
-6.0,43.75,Spain
-6.0,43.5,Spain
-6.0,43.25,Spain
-6.0,43.0,Spain
-6.0,42.75,Spain
-6.0,42.5,Spain
-6.0,42.25,Spain
-6.0,42.0,Spain
-6.0,41.75,Spain
-6.0,41.5,Spain
-6.0,41.25,Spain
-6.0,41.0,Spain
-6.0,40.75,Spain
-6.0,40.5,Spain
-6.0,40.25,Spain
-6.0,40.0,Spain
-6.0,39.75,Spain
-6.0,39.5,Spain
-6.0,39.25,Spain
-6.0,39.0,Spain
-6.0,38.75,Spain
-6.0,38.5,Spain
-6.0,38.25,Spain
-6.0,38.0,Spain
-6.0,37.75,Spain
-6.0,37.5,Spain
-6.0,37.25,Spain
-6.0,37.0,Spain
-6.0,36.75,Spain
-6.0,36.5,Spain
-6.0,36.25,Spain
-6.0,36.0,Spain
-5.75,56.0,United Kingdom
-5.75,55.75,United Kingdom
-5.75,55.5,United Kingdom
-5.75,55.25,United Kingdom
-5.75,54.75,United Kingdom
-5.75,54.5,United Kingdom
-5.75,54.25,United Kingdom
-5.75,54.0,United Kingdom
-5.75,50.5,United Kingdom
-5.75,50.25,United Kingdom
-5.75,50.0,United Kingdom
-5.75,43.75,Spain
-5.75,43.5,Spain
-5.75,43.25,Spain
-5.75,43.0,Spain
-5.75,42.75,Spain
-5.75,42.5,Spain
-5.75,42.25,Spain
-5.75,42.0,Spain
-5.75,41.75,Spain
-5.75,41.5,Spain
-5.75,41.25,Spain
-5.75,41.0,Spain
-5.75,40.75,Spain
-5.75,40.5,Spain
-5.75,40.25,Spain
-5.75,40.0,Spain
-5.75,39.75,Spain
-5.75,39.5,Spain
-5.75,39.25,Spain
-5.75,39.0,Spain
-5.75,38.75,Spain
-5.75,38.5,Spain
-5.75,38.25,Spain
-5.75,38.0,Spain
-5.75,37.75,Spain
-5.75,37.5,Spain
-5.75,37.25,Spain
-5.75,37.0,Spain
-5.75,36.75,Spain
-5.75,36.5,Spain
-5.75,36.25,Spain
-5.75,36.0,Spain
-5.5,56.0,United Kingdom
-5.5,55.75,United Kingdom
-5.5,55.5,United Kingdom
-5.5,55.25,United Kingdom
-5.5,54.75,United Kingdom
-5.5,54.5,United Kingdom
-5.5,54.25,United Kingdom
-5.5,52.0,United Kingdom
-5.5,51.75,United Kingdom
-5.5,50.75,United Kingdom
-5.5,50.5,United Kingdom
-5.5,50.25,United Kingdom
-5.5,50.0,United Kingdom
-5.5,49.75,United Kingdom
-5.5,43.75,Spain
-5.5,43.5,Spain
-5.5,43.25,Spain
-5.5,43.0,Spain
-5.5,42.75,Spain
-5.5,42.5,Spain
-5.5,42.25,Spain
-5.5,42.0,Spain
-5.5,41.75,Spain
-5.5,41.5,Spain
-5.5,41.25,Spain
-5.5,41.0,Spain
-5.5,40.75,Spain
-5.5,40.5,Spain
-5.5,40.25,Spain
-5.5,40.0,Spain
-5.5,39.75,Spain
-5.5,39.5,Spain
-5.5,39.25,Spain
-5.5,39.0,Spain
-5.5,38.75,Spain
-5.5,38.5,Spain
-5.5,38.25,Spain
-5.5,38.0,Spain
-5.5,37.75,Spain
-5.5,37.5,Spain
-5.5,37.25,Spain
-5.5,37.0,Spain
-5.5,36.75,Spain
-5.5,36.5,Spain
-5.5,36.25,Spain
-5.5,36.0,Spain
-5.25,56.0,United Kingdom
-5.25,55.75,United Kingdom
-5.25,55.5,United Kingdom
-5.25,55.25,United Kingdom
-5.25,55.0,United Kingdom
-5.25,54.75,United Kingdom
-5.25,52.25,United Kingdom
-5.25,52.0,United Kingdom
-5.25,51.75,United Kingdom
-5.25,51.5,United Kingdom
-5.25,50.75,United Kingdom
-5.25,50.5,United Kingdom
-5.25,50.25,United Kingdom
-5.25,50.0,United Kingdom
-5.25,49.75,United Kingdom
-5.25,43.75,Spain
-5.25,43.5,Spain
-5.25,43.25,Spain
-5.25,43.0,Spain
-5.25,42.75,Spain
-5.25,42.5,Spain
-5.25,42.25,Spain
-5.25,42.0,Spain
-5.25,41.75,Spain
-5.25,41.5,Spain
-5.25,41.25,Spain
-5.25,41.0,Spain
-5.25,40.75,Spain
-5.25,40.5,Spain
-5.25,40.25,Spain
-5.25,40.0,Spain
-5.25,39.75,Spain
-5.25,39.5,Spain
-5.25,39.25,Spain
-5.25,39.0,Spain
-5.25,38.75,Spain
-5.25,38.5,Spain
-5.25,38.25,Spain
-5.25,38.0,Spain
-5.25,37.75,Spain
-5.25,37.5,Spain
-5.25,37.25,Spain
-5.25,37.0,Spain
-5.25,36.75,Spain
-5.25,36.5,Spain
-5.25,36.25,Spain
-5.25,36.0,Spain
-5.0,56.0,United Kingdom
-5.0,55.75,United Kingdom
